Reference ID,Category,Name,Tiers - Level 1 (from Child ERS(s)),Local Controls (Linked),Framework (from Local Controls (Linked)),Sort Order
ER-1,Configuration,[Configuration] Data Encryption at Rest,"Security,PCI DSS v4.0 - ROC - Merchant","REQ-34,REQ-33,04.01x1Organizational.5,A.05.14,A.05.33,A.08.24a,REQ-33-SOC1,REQ-34-SOC1,REQ-33-HIPAA,REQ-34-HIPAA,1903.06d1Organizational.3456711,3.5.1,3.5.1.1,3.5.1.2,3.5.1.3,REQ-34,REQ-33,04.01x1Organizational.5,A.05.14,A.05.33,A.08.24a,REQ-33-SOC1,REQ-34-SOC1,REQ-33-HIPAA,REQ-34-HIPAA,1903.06d1Organizational.3456711,3.5.1,3.5.1.1,3.5.1.2,3.5.1.3,04.01x1Organizational.5,REQ-34,REQ-33,04.01x1Organizational.5,A.05.14,A.05.33,A.08.24a,REQ-33-SOC1,REQ-34-SOC1,REQ-33-HIPAA,REQ-34-HIPAA,REQ-35-HIPAA,1903.06d1Organizational.3456711,04.01x1Organizational.5,1903.06d1Organizational.3456711,1903.06d1Organizational.3456711,3.5.1,3.5.1.1,3.5.1.2,3.5.1.3","SOC 2,SOC 2,HITRUST,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,HITRUST,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,SOC 2,SOC 2,HITRUST,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,HITRUST,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,HITRUST,SOC 2,SOC 2,HITRUST,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,HIPAA Security,HITRUST,HITRUST,HITRUST,HITRUST,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0",1
ER-3,Configuration,[Configuration] Encryption In Transit (Ex. TLS Protocols),"Security,PCI DSS v4.0 - ROC - Merchant","REQ-35,REQ-33,04.01x1Organizational.5,A.05.14,A.05.33,A.08.24a,REQ-33-SOC1,REQ-35-SOC1,0913.09s1Organizational.5,1013.01r1System.2,0862.09m2Organizational.8,0928.09v2Organizational.1,REQ-33-HIPAA,REQ-35-HIPAA,0945.09y1Organizational.3,0954.10d1System.1,0903.10f1Organizational.1.a,4.2.1,4.2.1.1,4.2.2,0913.09s1Organizational.5,1013.01r1System.2,0862.09m2Organizational.8,0928.09v2Organizational.1,0903.10f1Organizational.1.a,0945.09y1Organizational.3,0954.10d1System.1,4.2.1,4.2.1.1,4.2.2,0913.09s1Organizational.5,1013.01r1System.2,0862.09m2Organizational.8,0928.09v2Organizational.1,0903.10f1Organizational.1.a,0954.10d1System.1,0945.09y1Organizational.3,0913.09s1Organizational.5,1013.01r1System.2,0862.09m2Organizational.8,0928.09v2Organizational.1,0903.10f1Organizational.1.a,4.2.1,0945.09y1Organizational.3,4.2.1,0954.10d1System.1,4.2.1,0954.10d1System.1,4.2.1,0913.09s1Organizational.5,1013.01r1System.2,0862.09m2Organizational.8,0928.09v2Organizational.1,0903.10f1Organizational.1.a,0945.09y1Organizational.3,0954.10d1System.1,4.2.1,4.2.1.1,4.2.2","SOC 2,SOC 2,HITRUST,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HITRUST,HITRUST,HITRUST,HITRUST,HIPAA Security,HIPAA Security,HITRUST,HITRUST,HITRUST,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,PCI DSS v4.0,HITRUST,PCI DSS v4.0,HITRUST,PCI DSS v4.0,HITRUST,PCI DSS v4.0,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0",2
ER-5,Sample,[Sample] Security Incidents,,"1561.11c1Organizational.4,1561.11c1Organizational.4,1561.11c1Organizational.4,1561.11c1Organizational.4,1561.11c1Organizational.4,1561.11c1Organizational.4","HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST",4
ER-6,Sample,[Sample] Publicly Accessible Posting,,"19180.09z1Organizational.2,19180.09z1Organizational.2,19180.09z1Organizational.2","HITRUST,HITRUST,HITRUST",5
ER-7,Sample,[Sample] Secure Access Facilities,,"1802.08b1Organizational.3,1845.08b1Organizational.7,1802.08b1Organizational.3,1845.08b1Organizational.7,1802.08b1Organizational.3,1845.08b1Organizational.7,1802.08b1Organizational.3,1845.08b1Organizational.7","HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST",6
ER-8,Sample,[Sample] Wireless Access Point Encryption,,"0502.09m1Organizational.5,0502.09m1Organizational.5,0502.09m1Organizational.5","HITRUST,HITRUST,HITRUST",7
ER-9,Policy,[Policy] Wireless Access Explicit Approval,,0502.09m1Organizational.5,HITRUST,8
ER-10,Configuration,[Configuration] Restriction of Writable and Removable Media,,"0304.09o1Organizational.2,0330.09o1Organizational.4,0304.09o1Organizational.2,0330.09o1Organizational.4,0304.09o1Organizational.2,0304.09o1Organizational.2,0330.09o1Organizational.4,0330.09o1Organizational.4,0330.09o1Organizational.4,0330.09o1Organizational.4","HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST",9
ER-11,Configuration,[Configuration] Email Filtering Solution,,"09.09v1Organizational.7,0931.09v1Organizational.8,09.09v1Organizational.7,0931.09v1Organizational.8,09.09v1Organizational.7,09.09v1Organizational.7,0931.09v1Organizational.8,0931.09v1Organizational.8,0931.09v1Organizational.8,09.09v1Organizational.7,0931.09v1Organizational.8","HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST",10
ER-12,Configuration,"[Configuration] List of All Production Systems (Servers, VMs, Data Stores)","Security,PCI DSS v4.0 - ROC - Merchant","REQ-33,REQ-43,REQ-34,A.05.09,REQ-33-SOC1,REQ-34-SOC1,REQ-43-SOC1,REQ-33-HIPAA,REQ-34-HIPAA,REQ-43-HIPAA,REQ-102-HIPAA,0701.07a1Organizational.8,0701.07a1Organizational.7,07.07a1Organizational.8,1.1.2,2.1.2,4.1.2,5.1.2,6.1.2,7.1.2,8.1.2,9.1.2,10.1.2,11.1.2,3.1.2,REQ-33,REQ-43,REQ-34,A.05.09,REQ-33-SOC1,REQ-34-SOC1,REQ-43-SOC1,REQ-33-HIPAA,REQ-34-HIPAA,REQ-43-HIPAA,REQ-102-HIPAA,0701.07a1Organizational.8,0701.07a1Organizational.7,07.07a1Organizational.8,1.1.2,2.1.2,4.1.2,5.1.2,6.1.2,7.1.2,8.1.2,9.1.2,10.1.2,11.1.2,3.1.2,REQ-33,REQ-43,REQ-34,A.05.09,REQ-33-SOC1,REQ-34-SOC1,REQ-43-SOC1,REQ-33-HIPAA,REQ-34-HIPAA,REQ-43-HIPAA,REQ-102-HIPAA,0701.07a1Organizational.7,1.1.2,2.1.2,4.1.2,5.1.2,6.1.2,7.1.2,8.1.2,9.1.2,10.1.2,11.1.2,3.1.2,REQ-33,REQ-43,REQ-34,A.05.09,REQ-33-SOC1,REQ-34-SOC1,REQ-43-SOC1,REQ-33-HIPAA,REQ-34-HIPAA,REQ-43-HIPAA,REQ-102-HIPAA,0701.07a1Organizational.7,1.1.2,2.1.2,4.1.2,5.1.2,6.1.2,7.1.2,8.1.2,9.1.2,10.1.2,11.1.2,3.1.2,REQ-33,REQ-43,REQ-34,A.05.09,REQ-33-SOC1,REQ-34-SOC1,REQ-43-SOC1,REQ-33-HIPAA,REQ-34-HIPAA,REQ-43-HIPAA,REQ-102-HIPAA,0701.07a1Organizational.7,1.1.2,2.1.2,4.1.2,5.1.2,6.1.2,7.1.2,8.1.2,9.1.2,10.1.2,11.1.2,3.1.2,0701.07a1Organizational.8,0701.07a1Organizational.8,07.07a1Organizational.8","SOC 2,SOC 2,SOC 2,ISO 27001/2 (2022),SOC 1,SOC 1,SOC 1,HIPAA Security,HIPAA Security,HIPAA Security,HIPAA Security,HITRUST,HITRUST,HITRUST,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,SOC 2,SOC 2,SOC 2,ISO 27001/2 (2022),SOC 1,SOC 1,SOC 1,HIPAA Security,HIPAA Security,HIPAA Security,HIPAA Security,HITRUST,HITRUST,HITRUST,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,SOC 2,SOC 2,SOC 2,ISO 27001/2 (2022),SOC 1,SOC 1,SOC 1,HIPAA Security,HIPAA Security,HIPAA Security,HIPAA Security,HITRUST,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,SOC 2,SOC 2,SOC 2,ISO 27001/2 (2022),SOC 1,SOC 1,SOC 1,HIPAA Security,HIPAA Security,HIPAA Security,HIPAA Security,HITRUST,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,SOC 2,SOC 2,SOC 2,ISO 27001/2 (2022),SOC 1,SOC 1,SOC 1,HIPAA Security,HIPAA Security,HIPAA Security,HIPAA Security,HITRUST,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,HITRUST,HITRUST,HITRUST",11
