Source File,Reference ID,Category,Action Item,HIPAA Control,Related HITRUST e1 Controls,Related HITRUST e1 Control Displays,Related HITRUST Control Count,45_CFR_Citation,HIPAA_Requirement_Title,HIPAA_Requirement_Summary,Implementation_Type,Safeguard_Family,Official_Section_URL,Official_Support_URL,Mapping Type,45 CFR Mapping Confidence,45 CFR Mapping Basis,45 CFR Notes,Official Citation Adjustment Notes
HITRUST e1.csv,ER-18,Configuration,Anti-malware and Alerts,REQ-38-HIPAA,"0207.09j1Organizational.6, 0226.09k1Organizational.2, 02962.09j1Organizational.5, 08.09m1Organizational.8","0207.09j1 Organizational.6, 0226.09k1 Organizational.2, 02962.09j1 Organizational.5, 08.09m1 Organizational.8",4,45 C.F.R. § 164.308(a)(5)(ii)(B),Security Awareness and Training — Protection from Malicious Software,"Implement procedures for guarding against, detecting, and reporting malicious software.",Addressable implementation specification,Administrative Safeguards,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/section-164.308,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,1:Many,Direct,"Anti-malware evidence aligns directly to guarding against, detecting, and reporting malicious software.",Alerts are treated as part of guarding against/detecting malicious software.,
HITRUST e1.csv,ER-114,Configuration,Backups and Schedules,REQ-62-HIPAA,"16.09l1Organizational.4, 1616.09l1Organizational.16, 1618.09l1Organizational.45","16.09l1 Organizational.4, 1616.09l1 Organizational.16, 1618.09l1 Organizational.45",3,45 C.F.R. § 164.308(a)(7)(ii)(A),Contingency Plan — Data Backup Plan,Establish and implement procedures to create and maintain retrievable exact copies of ePHI.,Required implementation specification,Administrative Safeguards,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/section-164.308,https://www.hhs.gov/hipaa/for-professionals/security/guidance/cybersecurity/ransomware-fact-sheet/index.html,Many:Many,Direct,Backup schedules most directly align to maintaining retrievable exact copies of ePHI.,Used for backup schedule evidence.,
HITRUST e1.csv,ER-114,Configuration,Backups and Schedules,REQ-63-HIPAA,"16.09l1Organizational.4, 1616.09l1Organizational.16, 1618.09l1Organizational.45","16.09l1 Organizational.4, 1616.09l1 Organizational.16, 1618.09l1 Organizational.45",3,45 C.F.R. § 164.308(a)(7)(ii)(B),Contingency Plan — Disaster Recovery Plan,Establish and implement procedures to restore any loss of data.,Required implementation specification,Administrative Safeguards,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/section-164.308,https://www.hhs.gov/hipaa/for-professionals/security/guidance/cybersecurity/ransomware-fact-sheet/index.html,Many:Many,Best-fit,Backup/replication planning most closely aligns to restoring lost data and recovering operations after a disruption.,Used for schedule-level backup rows when the internal control appears to emphasize recoverability/replication.,
HITRUST e1.csv,ER-1,Configuration,Data Encryption at Rest,REQ-33-HIPAA,"04.01x1Organizational.5, 1903.06d1Organizational.3456711","04.01x1 Organizational.5, 1903.06d1 Organizational.3456711",2,45 C.F.R. § 164.312(a)(2)(iv),Access Control — Encryption and Decryption,Implement a mechanism to encrypt and decrypt ePHI.,Addressable implementation specification,Technical Safeguards,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/section-164.312,https://www.hhs.gov/hipaa/for-professionals/faq/2001/is-the-use-of-encryption-mandatory-in-the-security-rule/index.html,Many:Many,Direct,At-rest encryption evidence aligns directly to the encryption/decryption implementation specification under access control.,Used when the shared action item is explicitly at-rest encryption.,
HITRUST e1.csv,ER-1,Configuration,Data Encryption at Rest,REQ-34-HIPAA,"04.01x1Organizational.5, 1903.06d1Organizational.3456711","04.01x1 Organizational.5, 1903.06d1 Organizational.3456711",2,45 C.F.R. § 164.312(a)(2)(iv),Access Control — Encryption and Decryption,Implement a mechanism to encrypt and decrypt ePHI.,Addressable implementation specification,Technical Safeguards,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/section-164.312,https://www.hhs.gov/hipaa/for-professionals/faq/2001/is-the-use-of-encryption-mandatory-in-the-security-rule/index.html,Many:Many,Direct,Control/action-item context aligns to at-rest encryption.,Used for data-encryption-at-rest rows.,
HITRUST e1.csv,ER-1,Configuration,Data Encryption at Rest,REQ-35-HIPAA,"04.01x1Organizational.5, 1903.06d1Organizational.3456711","04.01x1 Organizational.5, 1903.06d1 Organizational.3456711",2,45 C.F.R. § 164.312(a)(2)(iv),Access Control — Encryption and Decryption,Implement a mechanism to encrypt and decrypt ePHI.,Addressable implementation specification,Technical Safeguards,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/section-164.312,https://www.hhs.gov/hipaa/for-professionals/faq/2001/is-the-use-of-encryption-mandatory-in-the-security-rule/index.html,Many:Many,Best-fit,"This internal control ID also appears on an at-rest encryption row in the source spreadsheets, so the row context points to at-rest encryption even though the same control family also covers transmission encryption elsewhere.",Row-context mapping takes precedence over the broader internal control family.,
HITRUST e1.csv,ER-3,Configuration,Encryption In Transit (Ex. TLS Protocols),REQ-33-HIPAA,"04.01x1Organizational.5, 0862.09m2Organizational.8, 0903.10f1Organizational.1.a, 0913.09s1Organizational.5, 0928.09v2Organizational.1, 0945.09y1Organizational.3, 0954.10d1System.1, 1013.01r1System.2","04.01x1 Organizational.5, 0862.09m2 Organizational.8, 0903.10f1 Organizational.1.a, 0913.09s1 Organizational.5, 0928.09v2 Organizational.1, 0945.09y1 Organizational.3, 0954.10d1 System.1, 1013.01r1 System.2",8,45 C.F.R. § 164.312(e)(2)(ii),Transmission Security — Encryption,Implement a mechanism to encrypt ePHI whenever deemed appropriate during electronic transmission.,Addressable implementation specification,Technical Safeguards,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/section-164.312,https://www.hhs.gov/hipaa/for-professionals/faq/2001/is-the-use-of-encryption-mandatory-in-the-security-rule/index.html,Many:Many,Direct,Transmission-encryption evidence aligns directly to the transmission-security encryption implementation specification.,Used when the shared action item is explicitly in-transit encryption.,
HITRUST e1.csv,ER-3,Configuration,Encryption In Transit (Ex. TLS Protocols),REQ-35-HIPAA,"04.01x1Organizational.5, 0862.09m2Organizational.8, 0903.10f1Organizational.1.a, 0913.09s1Organizational.5, 0928.09v2Organizational.1, 0945.09y1Organizational.3, 0954.10d1System.1, 1013.01r1System.2","04.01x1 Organizational.5, 0862.09m2 Organizational.8, 0903.10f1 Organizational.1.a, 0913.09s1 Organizational.5, 0928.09v2 Organizational.1, 0945.09y1 Organizational.3, 0954.10d1 System.1, 1013.01r1 System.2",8,45 C.F.R. § 164.312(e)(2)(ii),Transmission Security — Encryption,Implement a mechanism to encrypt ePHI whenever deemed appropriate during electronic transmission.,Addressable implementation specification,Technical Safeguards,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/section-164.312,https://www.hhs.gov/hipaa/for-professionals/faq/2001/is-the-use-of-encryption-mandatory-in-the-security-rule/index.html,Many:Many,Direct,Action item explicitly addresses encryption in transit.,Used for transport/TLS evidence.,
HITRUST e1.csv,ER-88,Configuration,Evidence of Multi-Factor Authentication,REQ-27-HIPAA,"11.01q1System.3, 11.01q1System.4","11.01q1 System.3, 11.01q1 System.4",2,45 C.F.R. § 164.312(d),Person or Entity Authentication,Implement procedures to verify that a person or entity seeking access to ePHI is the one claimed.,Required standard,Technical Safeguards,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/section-164.312,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,1:Many,Direct,MFA evidence most directly supports verifying that the person or entity seeking access is the one claimed.,"HIPAA does not mandate a specific technology such as MFA in all cases, but MFA evidence is a strong implementation of this standard.",
HITRUST e1.csv,ER-91,Configuration,Firewall Rules/Security Groups,REQ-37-HIPAA,"0265.09m1Organizational.2, 0805.01m1Organizational.12","0265.09m1 Organizational.2, 0805.01m1 Organizational.12",2,45 C.F.R. § 164.312(a)(1),Access Control,Implement technical policies and procedures for electronic information systems that maintain ePHI to allow access only to persons or software programs with authorized access rights.,Standard,Technical Safeguards,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/section-164.312,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,1:Many,Best-fit,Firewall rules/security groups are a technical means of enforcing access restrictions around systems containing ePHI.,Mapped to the broad access-control standard because HIPAA does not list firewall rules as a separate named specification.,
