Reference ID,Category,Name,Tiers - Level 1 (from Child ERS(s)),Local Controls (Linked),Framework (from Local Controls (Linked)),Sort Order
ER-29,Policy,[Policy] Background Checks,Security,"REQ-11,A.06.01,REQ-11-SOC1,REQ-11-HIPAA,REQ-11,A.06.01,REQ-11-SOC1,REQ-11-HIPAA,REQ-11,A.06.01,REQ-11-SOC1,REQ-11-HIPAA,REQ-11,A.06.01,REQ-11-SOC1,REQ-11-HIPAA","SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security",28
ER-110,Policy,[Policy] Privacy Policy and Review,"Privacy - Data Controller,Privacy - Data Controller & Processor","A.05.34,REQ-78,REQ-80-C,REQ-81,REQ-83,REQ-92-C,REQ-77,A.05.34,REQ-78,REQ-80-C,REQ-81,REQ-83,REQ-92-C,REQ-77,A.05.34,A.05.34,A.05.34,REQ-78,REQ-80-C,REQ-81,REQ-83,REQ-92-C,REQ-77,REQ-78,REQ-80-C,REQ-81,REQ-83,REQ-92-C,REQ-77","ISO 27001/2 (2022),SOC 2,SOC 2,SOC 2,SOC 2,SOC 2,SOC 2,ISO 27001/2 (2022),SOC 2,SOC 2,SOC 2,SOC 2,SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 2,SOC 2,SOC 2,SOC 2,SOC 2,SOC 2,SOC 2,SOC 2,SOC 2,SOC 2,SOC 2,SOC 2",105
ER-159,Policy,[Policy] Employee Handbook,Security,"REQ-7,REQ-8,A.06.02,A.06.04,A.06.05,A.06.06,A.06.07,REQ-7-SOC1,REQ-8-SOC1,REQ-7-HIPAA,REQ-8-HIPAA,A.06.08,REQ-7,REQ-8,A.06.02,A.06.04,A.06.05,A.06.06,A.06.07,REQ-7-SOC1,REQ-8-SOC1,REQ-7-HIPAA,REQ-8-HIPAA,A.06.08,REQ-7,REQ-8,A.06.02,A.06.04,A.06.05,A.06.06,A.06.07,REQ-7-SOC1,REQ-8-SOC1,REQ-7-HIPAA,REQ-8-HIPAA,A.06.08,REQ-7,REQ-8,A.06.02,A.06.04,A.06.05,A.06.06,A.06.07,REQ-7-SOC1,REQ-8-SOC1,REQ-7-HIPAA,REQ-8-HIPAA,A.06.08,REQ-7,REQ-8,A.06.02,A.06.04,A.06.05,A.06.06,A.06.07,REQ-7-SOC1,REQ-8-SOC1,REQ-7-HIPAA,REQ-8-HIPAA,A.06.08,REQ-7,REQ-8,A.06.02,A.06.04,A.06.05,A.06.06,A.06.07,REQ-7-SOC1,REQ-8-SOC1,REQ-7-HIPAA,REQ-8-HIPAA,A.06.08,REQ-7,REQ-8,A.06.02,A.06.04,A.06.05,A.06.06,A.06.07,REQ-7-SOC1,REQ-8-SOC1,REQ-7-HIPAA,REQ-8-HIPAA,A.06.08","SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,ISO 27001/2 (2022),SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,ISO 27001/2 (2022),SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,ISO 27001/2 (2022),SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,ISO 27001/2 (2022),SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,ISO 27001/2 (2022),SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,ISO 27001/2 (2022),SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,ISO 27001/2 (2022)",153
ER-160,Policy,[Policy] Employee Confidentiality Agreement,Security,"REQ-9,A.06.06,REQ-9-SOC1,REQ-9-HIPAA,REQ-9,A.06.06,REQ-9-SOC1,REQ-9-HIPAA,REQ-9,A.06.06,REQ-9-SOC1,REQ-9-HIPAA,REQ-9,A.06.06,REQ-9-SOC1,REQ-9-HIPAA,REQ-9,A.06.06,REQ-9-SOC1,REQ-9-HIPAA,REQ-9,A.06.06,REQ-9-SOC1,REQ-9-HIPAA","SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security",154
ER-162,Policy,[Policy] Risk Committee or Board Charter,Security,"REQ-4,REQ-3,09.03.01,REQ-3-SOC1,REQ-4-SOC1","SOC 2,SOC 2,ISO 27001/2 (2022),SOC 1,SOC 1",156
ER-163,Operational,[Operational] Organizational Chart,Security,"REQ-16,A.05.02,A.05.03,REQ-16-SOC1,REQ-16-HIPAA,REQ-16,A.05.02,A.05.03,REQ-16-SOC1,REQ-16-HIPAA,REQ-16,A.05.02,A.05.03,REQ-16-SOC1,REQ-16-HIPAA,REQ-16,A.05.02,A.05.03,REQ-16-SOC1,REQ-16-HIPAA,REQ-16,A.05.02,A.05.03,REQ-16-SOC1,REQ-16-HIPAA,REQ-16,A.05.02,A.05.03,REQ-16-SOC1,REQ-16-HIPAA,REQ-16,A.05.02,A.05.03,REQ-16-SOC1,REQ-16-HIPAA","SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security",157
ER-164,Operational,[Operational] Security Roles and Responsibilities,Security,"REQ-2,05.03,A.05.02,A.05.03,A.05.04,REQ-2-SOC1,REQ-2-HIPAA,REQ-2,05.03,A.05.02,A.05.03,A.05.04,REQ-2-SOC1,REQ-2-HIPAA,REQ-2,05.03,A.05.02,A.05.03,A.05.04,REQ-2-SOC1,REQ-2-HIPAA,REQ-2,05.03,A.05.02,A.05.03,A.05.04,REQ-2-SOC1,REQ-2-HIPAA","SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security",158
ER-165,Policy,[Policy] Performance Reviews,Security,"REQ-14,REQ-14-SOC1","SOC 2,SOC 1",159
ER-166,Policy,[Policy] Change Management,Security,"REQ-53,A.08.32,REQ-53-SOC1,REQ-53-HIPAA,REQ-53,A.08.32,REQ-53-SOC1,REQ-53-HIPAA,REQ-53,A.08.32,REQ-53-SOC1,REQ-53-HIPAA","SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security",160
ER-167,Policy,"[Policy] Customer Contract, Including Security Commitments",Security,"REQ-5,REQ-67,A.05.14,A.05.20,A.05.21,A.05.22,REQ-5-SOC1,REQ-67-HIPAA","SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security",161
